id,city
1,"경기 가평군"
2,"경기 고양시 덕양구"
3,"경기 고양시 일산동구"
4,"경기 고양시 일산서구"
5,"경기 과천시"
6,"경기 광명시"
7,"경기 광주시"
8,"경기 구리시"
9,"경기 군포시"
10,"경기 김포시"
11,"경기 남양주시"
12,"경기 동두천시"
13,"경기 부천시 소사구"
14,"경기 부천시 오정구"
15,"경기 부천시 원미구"
16,"경기 성남시 분당구"
17,"경기 성남시 수정구"
18,"경기 성남시 중원구"
19,"경기 수원시 권선구"
20,"경기 수원시 영통구"
21,"경기 수원시 장안구"
22,"경기 수원시 팔달구"
23,"경기 시흥시"
24,"경기 안산시 단원구"
25,"경기 안산시 상록구"
26,"경기 안성시"
27,"경기 안양시 동안구"
28,"경기 안양시 만안구"
29,"경기 양주시"
30,"경기 양평군"
31,"경기 여주군"
32,"경기 연천군"
33,"경기 오산시"
34,"경기 용인시 기흥구"
35,"경기 용인시 수지구"
36,"경기 용인시 처인구"
37,"경기 의왕시"
38,"경기 의정부시"
39,"경기 이천시"
40,"경기 파주시"
41,"경기 평택시"
42,"경기 포천시"
43,"경기 하남시"
44,"경기 화성시"
45,"서울 강남구"
46,"서울 강동구"
47,"서울 강북구"
48,"서울 강서구"
49,"서울 관악구"
50,"서울 광진구"
51,"서울 구로구"
52,"서울 금천구"
53,"서울 노원구"
54,"서울 도봉구"
55,"서울 동대문구"
56,"서울 동작구"
57,"서울 마포구"
58,"서울 서대문구"
59,"서울 서초구"
60,"서울 성동구"
61,"서울 성북구"
62,"서울 송파구"
63,"서울 양천구"
64,"서울 영등포구"
65,"서울 용산구"
66,"서울 은평구"
67,"서울 종로구"
68,"서울 중구"
69,"서울 중랑구"
70,"인천 강화군"
71,"인천 계양구"
72,"인천 남구"
73,"인천 남동구"
74,"인천 동구"
75,"인천 부평구"
76,"인천 서구"
77,"인천 연수구"
78,"인천 옹진군"
79,"인천 중구"
